"","time","strain","percent","eco_by_vessel","time_gap","condition","facet"
"39",7,"Auxotroph ∆metB",0.685714285714286,"tube_b","4-7","no_met","Co-Culture"
"40",7,"Auxotroph ∆metB",-0.71,"tube_b","4-7","no_met","Co-Culture"
"41",7,"Auxotroph ∆metB",1.4,"tube_b","4-7","no_met","Co-Culture"
"42",7,"Auxotroph ∆metB",6.5,"tube_b","4-7","no_met","Co-Culture"
"43",7,"Auxotroph ∆metB",-0.283333333333333,"tube_b","4-7","no_met","Co-Culture"
"44",7,"Auxotroph ∆metB",-0.56,"tube_b","4-7","no_met","Co-Culture"
"45",7,"Auxotroph ∆metB",-0.55,"tube_b","4-7","no_met","Co-Culture"
"46",7,"Overproducer ∆metJ",-0.704918032786885,"tube_j","4-7","no_met","Co-Culture"
"47",7,"Overproducer ∆metJ",-0.737333333333333,"tube_j","4-7","no_met","Co-Culture"
"48",7,"Overproducer ∆metJ",-0.504347826086956,"tube_j","4-7","no_met","Co-Culture"
"49",7,"Overproducer ∆metJ",-0.530097087378641,"tube_j","4-7","no_met","Co-Culture"
"50",7,"Overproducer ∆metJ",-0.609090909090909,"tube_j","4-7","no_met","Co-Culture"
"51",7,"Overproducer ∆metJ",-0.584126984126984,"tube_j","4-7","no_met","Co-Culture"
"52",7,"Overproducer ∆metJ",-0.514516129032258,"tube_j","4-7","no_met","Co-Culture"
"53",7,"Overproducer ∆metJ",-0.639393939393939,"tube_j","4-7","no_met","Co-Culture"
"54",7,"Overproducer ∆metJ",-0.508,"tube_j","4-7","no_met","Co-Culture"
"55",10,"Auxotroph ∆metB",-0.863354037267081,"tube_b","7-10","no_met","Co-Culture"
"56",10,"Auxotroph ∆metB",-0.736486486486487,"tube_b","7-10","no_met","Co-Culture"
"57",10,"Auxotroph ∆metB",-0.73728813559322,"tube_b","7-10","no_met","Co-Culture"
"58",10,"Auxotroph ∆metB",-0.344827586206897,"tube_b","7-10","no_met","Co-Culture"
"59",10,"Auxotroph ∆metB",-0.791666666666667,"tube_b","7-10","no_met","Co-Culture"
"60",10,"Auxotroph ∆metB",-0.786666666666667,"tube_b","7-10","no_met","Co-Culture"
"61",10,"Auxotroph ∆metB",-0.27906976744186,"tube_b","7-10","no_met","Co-Culture"
"62",10,"Auxotroph ∆metB",-0.318181818181818,"tube_b","7-10","no_met","Co-Culture"
"63",10,"Auxotroph ∆metB",-0.444444444444444,"tube_b","7-10","no_met","Co-Culture"
"64",10,"Overproducer ∆metJ",-0.833333333333333,"tube_j","7-10","no_met","Co-Culture"
"65",10,"Overproducer ∆metJ",-0.776649746192893,"tube_j","7-10","no_met","Co-Culture"
"66",10,"Overproducer ∆metJ",-0.675438596491228,"tube_j","7-10","no_met","Co-Culture"
"67",10,"Overproducer ∆metJ",-0.81198347107438,"tube_j","7-10","no_met","Co-Culture"
"68",10,"Overproducer ∆metJ",-0.713953488372093,"tube_j","7-10","no_met","Co-Culture"
"69",10,"Overproducer ∆metJ",-0.780534351145038,"tube_j","7-10","no_met","Co-Culture"
"70",10,"Overproducer ∆metJ",-0.75249169435216,"tube_j","7-10","no_met","Co-Culture"
