"","Time","sample","value","strain","replicate","media","background"
"5293",1110,"E1",0.28639513,"overproducer ∆metJ","1","Met (-)","mutant"
"5294",1110,"E2",0.54339513,"overproducer ∆metJ","2","Met (-)","mutant"
"5295",1110,"E3",0.57339513,"overproducer ∆metJ","3","Met (-)","mutant"
"5296",1110,"E4",0.56639513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5297",1110,"E5",0.46439513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5298",1110,"E6",0.50439513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5299",1110,"E7",0.95339513,"auxotroph ∆metB","1","Met (+)","mutant"
"5300",1110,"E8",0.69439513,"auxotroph ∆metB","2","Met (+)","mutant"
"5301",1110,"E9",0.97739513,"auxotroph ∆metB","3","Met (+)","mutant"
"5302",1110,"E10",0.64339513,"wild-type (supplemented)","1","Met (+)","wt"
"5303",1110,"E11",0.61439513,"wild-type (supplemented)","2","Met (+)","wt"
"5304",1110,"E12",0.58439513,"wild-type (supplemented)","3","Met (+)","wt"
"5305",1110,"F1",0.29039513,"overproducer ∆metJ","1","Met (-)","mutant"
"5306",1110,"F2",0.55839513,"overproducer ∆metJ","2","Met (-)","mutant"
"5307",1110,"F3",0.56539513,"overproducer ∆metJ","3","Met (-)","mutant"
"5308",1110,"F4",0.51239513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5309",1110,"F5",0.37539513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5310",1110,"F6",0.52739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5311",1110,"F7",0.99939513,"auxotroph ∆metB","1","Met (+)","mutant"
"5312",1110,"F8",0.53139513,"auxotroph ∆metB","2","Met (+)","mutant"
"5313",1110,"F9",0.98439513,"auxotroph ∆metB","3","Met (+)","mutant"
"5314",1110,"F10",0.57339513,"wild-type (supplemented)","1","Met (+)","wt"
"5315",1110,"F11",0.64439513,"wild-type (supplemented)","2","Met (+)","wt"
"5316",1110,"F12",0.50039513,"wild-type (supplemented)","3","Met (+)","wt"
"5317",1110,"G1",0.30939513,"overproducer ∆metJ","1","Met (-)","mutant"
"5318",1110,"G2",0.56739513,"overproducer ∆metJ","2","Met (-)","mutant"
"5319",1110,"G3",0.66139513,"overproducer ∆metJ","3","Met (-)","mutant"
"5320",1110,"G4",0.48039513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5321",1110,"G5",0.42639513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5322",1110,"G6",0.46739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5323",1110,"G7",0.97639513,"auxotroph ∆metB","1","Met (+)","mutant"
"5324",1110,"G8",0.54039513,"auxotroph ∆metB","2","Met (+)","mutant"
"5325",1110,"G9",0.96939513,"auxotroph ∆metB","3","Met (+)","mutant"
"5326",1110,"G10",0.52539513,"wild-type (supplemented)","1","Met (+)","wt"
"5327",1110,"G11",0.64539513,"wild-type (supplemented)","2","Met (+)","wt"
"5328",1110,"G12",0.51839513,"wild-type (supplemented)","3","Met (+)","wt"
"5329",1125,"B1",0.30539513,"overproducer ∆metJ","1","Met (-)","mutant"
"5330",1125,"B2",0.64039513,"overproducer ∆metJ","2","Met (-)","mutant"
